Análisis: lexico
Autor: SebastianBarco
Fecha: 21-06-2026-21h51

TOKENS RECONOCIDOS
------------------------------------------------------------
[APERTURA_PHP] '<?php' | línea 1 | columna 0
[VARIABLE] '$nombre' | línea 3 | columna 7
[ASIGNACION] '=' | línea 3 | columna 15
[LITERAL_CADENA] '"Sebastian"' | línea 3 | columna 17
[PUNTO_Y_COMA] ';' | línea 3 | columna 28
[VARIABLE] '$edad' | línea 4 | columna 30
[ASIGNACION] '=' | línea 4 | columna 36
[LITERAL_ENTERO] '21' | línea 4 | columna 38
[PUNTO_Y_COMA] ';' | línea 4 | columna 40
[VARIABLE] '$promedio' | línea 5 | columna 42
[ASIGNACION] '=' | línea 5 | columna 52
[LITERAL_DECIMAL] '8.5' | línea 5 | columna 54
[PUNTO_Y_COMA] ';' | línea 5 | columna 57
[VARIABLE] '$activo' | línea 6 | columna 59
[ASIGNACION] '=' | línea 6 | columna 67
[TRUE] 'true' | línea 6 | columna 69
[PUNTO_Y_COMA] ';' | línea 6 | columna 73
[VARIABLE] '$beca' | línea 7 | columna 75
[ASIGNACION] '=' | línea 7 | columna 81
[NULL] 'null' | línea 7 | columna 83
[PUNTO_Y_COMA] ';' | línea 7 | columna 87
[VARIABLE] '$notas' | línea 9 | columna 90
[ASIGNACION] '=' | línea 9 | columna 97
[CORCHETE_IZQ] '[' | línea 9 | columna 99
[LITERAL_ENTERO] '9' | línea 9 | columna 100
[COMA] ',' | línea 9 | columna 101
[LITERAL_ENTERO] '7' | línea 9 | columna 103
[COMA] ',' | línea 9 | columna 104
[LITERAL_ENTERO] '8' | línea 9 | columna 106
[COMA] ',' | línea 9 | columna 107
[LITERAL_ENTERO] '10' | línea 9 | columna 109
[COMA] ',' | línea 9 | columna 111
[LITERAL_ENTERO] '6' | línea 9 | columna 113
[CORCHETE_DER] ']' | línea 9 | columna 114
[PUNTO_Y_COMA] ';' | línea 9 | columna 115
[FUNCTION] 'function' | línea 11 | columna 118
[IDENTIFICADOR] 'calcularPromedio' | línea 11 | columna 127
[PARENTESIS_IZQ] '(' | línea 11 | columna 143
[VARIABLE] '$notas' | línea 11 | columna 144
[PARENTESIS_DER] ')' | línea 11 | columna 150
[LLAVE_IZQ] '{' | línea 11 | columna 152
[VARIABLE] '$suma' | línea 12 | columna 158
[ASIGNACION] '=' | línea 12 | columna 164
[LITERAL_ENTERO] '0' | línea 12 | columna 166
[PUNTO_Y_COMA] ';' | línea 12 | columna 167
[VARIABLE] '$total' | línea 13 | columna 173
[ASIGNACION] '=' | línea 13 | columna 180
[LITERAL_ENTERO] '0' | línea 13 | columna 182
[PUNTO_Y_COMA] ';' | línea 13 | columna 183
[FOR] 'for' | línea 14 | columna 189
[PARENTESIS_IZQ] '(' | línea 14 | columna 193
[VARIABLE] '$i' | línea 14 | columna 194
[ASIGNACION] '=' | línea 14 | columna 197
[LITERAL_ENTERO] '0' | línea 14 | columna 199
[PUNTO_Y_COMA] ';' | línea 14 | columna 200
[VARIABLE] '$i' | línea 14 | columna 202
[MENOR_QUE] '<' | línea 14 | columna 205
[LITERAL_ENTERO] '5' | línea 14 | columna 207
[PUNTO_Y_COMA] ';' | línea 14 | columna 208
[VARIABLE] '$i' | línea 14 | columna 210
[INCREMENTO] '++' | línea 14 | columna 212
[PARENTESIS_DER] ')' | línea 14 | columna 214
[LLAVE_IZQ] '{' | línea 14 | columna 216
[VARIABLE] '$suma' | línea 15 | columna 226
[MAS_IGUAL] '+=' | línea 15 | columna 232
[VARIABLE] '$notas' | línea 15 | columna 235
[CORCHETE_IZQ] '[' | línea 15 | columna 241
[VARIABLE] '$i' | línea 15 | columna 242
[CORCHETE_DER] ']' | línea 15 | columna 244
[PUNTO_Y_COMA] ';' | línea 15 | columna 245
[VARIABLE] '$total' | línea 16 | columna 255
[INCREMENTO] '++' | línea 16 | columna 261
[PUNTO_Y_COMA] ';' | línea 16 | columna 263
[LLAVE_DER] '}' | línea 17 | columna 269
[RETURN] 'return' | línea 18 | columna 275
[VARIABLE] '$suma' | línea 18 | columna 282
[DIVIDIR] '/' | línea 18 | columna 288
[VARIABLE] '$total' | línea 18 | columna 290
[PUNTO_Y_COMA] ';' | línea 18 | columna 296
[LLAVE_DER] '}' | línea 19 | columna 298
[FUNCTION] 'function' | línea 21 | columna 301
[IDENTIFICADOR] 'obtenerEstado' | línea 21 | columna 310
[PARENTESIS_IZQ] '(' | línea 21 | columna 323
[VARIABLE] '$promedio' | línea 21 | columna 324
[COMA] ',' | línea 21 | columna 333
[VARIABLE] '$activo' | línea 21 | columna 335
[PARENTESIS_DER] ')' | línea 21 | columna 342
[LLAVE_IZQ] '{' | línea 21 | columna 344
[IF] 'if' | línea 22 | columna 350
[PARENTESIS_IZQ] '(' | línea 22 | columna 353
[VARIABLE] '$promedio' | línea 22 | columna 354
[MAYOR_IGUAL] '>=' | línea 22 | columna 364
[LITERAL_ENTERO] '9' | línea 22 | columna 367
[AND_LOGICO] '&&' | línea 22 | columna 369
[VARIABLE] '$activo' | línea 22 | columna 372
